Avibacterium	Pasteurellaceae
Azoarcus	Rhodocyclaceae
Azohydromonas	Alcaligenaceae
Azomonas	Pseudomonadaceae
Azonexus	Rhodocyclaceae
Azorhizobium	Xanthobacteraceae
Azorhizophilus	Pseudomonadaceae
Azospira	Rhodocyclaceae
Azospirillum	Rhodospirillaceae
Azotobacter	Pseudomonadaceae
Azovibrio	Rhodocyclaceae
Bacillus	Bacillaceae
Bacteriovorax	Bacteriovoracaceae
Bacteroides	Bacteroidaceae
Balnearium	Desulfurobacteriaceae
Balneatrix	Oceanospirillaceae
Balneola	Chitinophagaceae
Barnesiella	Porphyromonadaceae
Barrientosiimonas	Dermacoccaceae
Bartonella	Bartonellaceae
Basfia	Pasteurellaceae
Basilea	Alcaligenaceae
Bauldia	Unclassified_Rhizobiales
Bavariicoccus	Enterococcaceae
Bdellovibrio	Bdellovibrionaceae
Beggiatoa	Thiotrichaceae
Beijerinckia	Beijerinckiaceae
Belliella	Cyclobacteriaceae
Bellilinea	Anaerolineaceae
Belnapia	Acetobacteraceae
Bergeriella	Neisseriaceae
Bermanella	Oceanospirillaceae
Beutenbergia	Beutenbergiaceae
Bhargavaea	Planococcaceae
Bibersteinia	Pasteurellaceae
Bifidobacterium	Bifidobacteriaceae
Bilophila	Desulfovibrionaceae
Biostraticola	Enterobacteriaceae
Bisgaardia	Pasteurellaceae
Bizionia	Flavobacteriaceae
Blastobacter	Bradyrhizobiaceae
Blastocatella	Unclassified_Elusimicrobia
Blastochloris	Hyphomicrobiaceae
Blastococcus	Geodermatophilaceae
Blastomonas	Sphingomonadaceae
Blastopirellula	Planctomycetaceae
Blautia	Unclassified_Clostridiales
Bogoriella	Bogoriellaceae
Bombella	Acetobacteraceae
Bombiscardovia	Bifidobacteriaceae
Bordetella	Alcaligenaceae
Borrelia	Spirochaetaceae
Borreliella	Spirochaetaceae
Bosea	Bradyrhizobiaceae
Boseongicola	Rhodobacteraceae
Bowmanella	Alteromonadaceae
Brachybacterium	Dermabacteraceae
Brachymonas	Comamonadaceae
Brachyspira	Brachyspiraceae
Brackiella	Alcaligenaceae
Bradymonas	Bradymonadaceae
Bradyrhizobium	Bradyrhizobiaceae
Branchiibius	Dermacoccaceae
Brassicibacter	Clostridiaceae
Brenneria	Enterobacteriaceae
Breoghania	Unclassified_Alphaproteobacteria
Brevibacillus	Paenibacillaceae
Brevibacterium	Brevibacteriaceae
Brevifollis	Verrucomicrobiaceae
Brevinema	Brevinemataceae
Brevundimonas	Caulobacteraceae
Brochothrix	Listeriaceae
Brockia	Thermoanaerobacteraceae
Brooklawnia	Propionibacteriaceae
Brucella	Brucellaceae
Brumimicrobium	Cryomorphaceae
Bryobacter	Unclassified_Acidobacteria
Bryocella	Acidobacteriaceae
Budvicia	Enterobacteriaceae
Bulleidia	Erysipelotrichaceae
Burkholderia	Burkholderiaceae
Buttiauxella	Enterobacteriaceae
Butyricicoccus	Clostridiaceae
Butyricimonas	Porphyromonadaceae
Butyrivibrio	Lachnospiraceae
Byssovorax	Polyangiaceae
Caedibacter	Unclassified_Thiotrichales
Caenimonas	Comamonadaceae
Caenispirillum	Rhodospirillaceae
Caldalkalibacillus	Bacillaceae
Caldanaerobacter	Thermoanaerobacteraceae
Caldanaerobius	Thermoanaerobacteraceae
Caldanaerovirga	Unclassified_Thermoanaerobacterales
Calderihabitans	Thermoanaerobacteraceae
Caldibacillus	Bacillaceae
Caldicellulosiruptor	Unclassified_Thermoanaerobacterales
Caldicoprobacter	Caldicoprobacteraceae
Caldilinea	Caldilineaceae
Caldimicrobium	Thermodesulfobacteriaceae
Caldimonas	Comamonadaceae
Caldisericum	Caldisericaceae
Caldisphaera	Caldisphaeraceae
Calditerricola	Bacillaceae
Calditerrivibrio	Deferribacteraceae
Caldithrix	Unclassified_Deferribacterales
Caldivirga	Thermoproteaceae
Calidifontibacter	Dermacoccaceae
Caloramator	Clostridiaceae
Caloranaerobacter	Clostridiaceae
Caloribacterium	Thermoanaerobacteraceae
Camelimonas	Beijerinckiaceae
Caminibacter	Nautiliaceae
Caminicella	Clostridiaceae
Campylobacter	Campylobacteraceae
Candidimonas	Alcaligenaceae
